entry,subentry,pt,eta,phi,mass
106,0,77.329834,1.0070801,-1.081543,0.10571289
106,1,61.497276,-1.9802246,1.5219727,0.10571289
106,2,10.294903,-1.2827148,0.9234619,0.10571289
113,0,15.369456,1.2290039,-2.0097656,0.10571289
119,0,14.675263,0.64367676,-1.229248,0.10571289
121,0,16.874187,-0.16033936,1.4504395,0.10571289
122,0,48.09311,-2.385254,2.6845703,0.10571289
122,1,40.478104,-1.2390137,-0.39135742,0.10571289
124,0,18.368149,-0.69348145,-1.5439453,0.10571289
125,0,66.41442,1.5366211,-2.0600586,0.10571289
125,1,31.390099,1.5161133,1.2126465,0.10571289
129,0,35.44896,2.215332,-1.2380371,0.10571289
129,1,28.9108,1.5998535,1.064209,0.10571289
133,0,55.92671,1.7644043,-0.17276001,0.10571289
133,1,25.869947,0.16415405,1.6774902,0.10571289
136,0,10.204015,2.2871094,2.0234375,0.10571289
137,0,25.663498,-0.8909912,2.9018555,0.10571289
137,1,24.989744,1.3334961,-0.7869873,0.10571289
139,0,22.326689,2.3964844,-1.3452148,0.10571289
144,0,11.9423485,1.0466309,2.5761719,0.10571289
145,0,13.775359,-0.34710693,0.3562622,0.10571289
147,0,111.23279,-0.49176025,-0.77441406,0.10571289
147,1,68.29913,0.26098633,-2.2148438,0.10571289
147,2,43.01595,-0.41448975,2.541504,0.10571289
147,3,29.084175,-0.16455078,1.0031738,0.10571289
150,0,17.582449,0.8659668,-1.1220703,0.10571289
156,0,55.11363,-1.1567383,0.6409912,0.10571289
156,1,54.753033,-1.2099609,1.9321289,0.10571289
156,2,40.567978,-0.9042969,-2.0332031,0.10571289
156,3,36.234596,-1.5656738,-0.87109375,0.10571289
159,0,42.135887,1.2827148,-1.7236328,0.10571289
159,1,14.749708,2.209961,1.5822754,0.10571289
161,0,13.580065,1.263916,-2.8881836,0.10571289
167,0,168.57172,-1.3010254,-3.0737305,0.10571289
167,1,74.899605,-1.9104004,-0.8031006,0.10571289
167,2,31.273039,-0.14141846,3.0078125,0.10571289
167,3,30.219978,-1.4106445,-3.050293,0.10571289
168,0,14.721327,1.6418457,0.5270996,0.10571289
171,0,22.354053,1.6755371,1.7275391,0.10571289
171,1,12.320996,-1.282959,-2.1831055,0.10571289
172,0,36.559547,-0.17834473,-1.3500977,0.10571289
172,1,16.310423,-0.008729935,1.6706543,0.10571289
172,2,10.824408,-2.3833008,2.6586914,0.10571289
176,0,46.516582,-1.7302246,2.2509766,0.10571289
176,1,11.230574,-2.0517578,-2.7485352,0.10571289
180,0,129.82971,-1.1237793,1.8063965,0.10571289
180,1,72.837036,-1.2185059,0.8594971,0.10571289
183,0,10.707454,-1.4858398,-1.2763672,0.10571289
184,0,12.528874,-1.067627,-0.27905273,0.10571289
196,0,45.126587,0.8652344,0.34881592,0.10571289
196,1,23.592796,0.15875244,0.9980469,0.10571289
196,2,20.603601,-1.1687012,2.963379,0.10571289
196,3,20.18461,0.108444214,1.5803223,0.10571289
202,0,21.923943,0.95666504,-2.3886719,0.10571289
204,0,13.334874,1.7023926,-0.5037842,0.10571289
209,0,73.00754,-0.16030884,-2.5083008,0.10571289
209,1,69.87367,-0.64404297,2.4951172,0.10571289
210,0,54.4121,0.22518921,-2.053711,0.10571289
210,1,19.01356,-1.7214355,-0.11602783,0.10571289
216,0,11.99502,-2.3320312,-0.5279541,0.10571289
218,0,13.445196,-1.1411133,2.6831055,0.10571289
219,0,28.787085,-1.0534668,2.6982422,0.10571289
219,1,26.737833,0.68774414,-0.3116455,0.10571289
222,0,20.181423,0.36444092,1.7294922,0.10571289
223,0,42.55535,1.3759766,1.9880371,0.10571289
223,1,41.971676,2.1479492,-1.3891602,0.10571289
225,0,17.068655,-0.06500244,-1.489502,0.10571289
226,0,41.052845,2.3427734,0.05784607,0.10571289
228,0,11.606182,2.0898438,1.3745117,0.10571289
229,0,72.54042,-1.9750977,-0.3241577,0.10571289
233,0,69.952095,1.5068359,2.4521484,0.10571289
234,0,17.18026,1.9633789,0.7996826,0.10571289
237,0,35.253304,0.2522583,1.6679688,0.10571289
237,1,34.74732,-0.48266602,-2.0009766,0.10571289
244,0,31.643673,-1.3898926,-2.8613281,0.10571289
246,0,142.94633,-0.7525635,-0.5163574,0.10571289
246,1,39.681164,-0.3482666,3.09375,0.10571289
247,0,17.849138,0.309021,1.7612305,0.10571289
249,0,25.67525,1.9030762,-2.1542969,0.10571289
252,0,32.112213,-1.079834,-0.71032715,0.10571289
255,0,46.735874,0.2071228,2.1074219,0.10571289
261,0,17.683718,1.9645996,-1.3647461,0.10571289
261,1,17.20864,0.23425293,0.48687744,0.10571289
263,0,67.895874,-1.6262207,3.0585938,0.10571289
263,1,36.292343,-1.6618652,-0.34820557,0.10571289
265,0,21.921066,-2.1171875,-1.300293,0.10571289
267,0,30.479868,-1.7668457,0.2284851,0.10571289
269,0,24.11688,1.5527344,1.7163086,0.10571289
271,0,28.228493,-1.5402832,-0.068573,0.10571289
276,0,49.230095,-0.20489502,-2.1660156,0.10571289
277,0,108.05331,-0.6635742,2.2753906,0.10571289
277,1,71.60855,-0.73913574,-0.40142822,0.10571289
277,2,49.76232,0.42230225,-1.2585449,0.10571289
277,3,14.1992855,1.1381836,-2.8310547,0.10571289
278,0,22.787832,0.56518555,-2.6328125,0.10571289
280,0,25.828491,1.0483398,1.7600098,0.10571289
282,0,30.462734,0.06625366,-3.0014648,0.10571289
285,0,32.99913,0.2541504,0.9838867,0.10571289
285,1,21.573055,-0.92163086,-2.6660156,0.10571289
285,2,12.479471,-0.8309326,-0.8438721,0.10571289
287,0,41.942238,-2.0898438,-2.9355469,0.10571289
287,1,32.46076,-1.6689453,1.0014648,0.10571289
290,0,67.13233,-0.03779602,-2.1386719,0.10571289
290,1,37.955082,-0.34552002,0.58947754,0.10571289
298,0,75.86317,1.2788086,-0.30999756,0.10571289
298,1,34.47608,1.5466309,1.9277344,0.10571289
299,0,11.226471,-1.8022461,2.1870117,0.10571289
300,0,47.66839,0.614624,-0.7128906,0.10571289
301,0,13.051625,-1.2250977,-3.0107422,0.10571289
304,0,56.733425,-0.8956299,0.1749878,0.10571289
305,0,51.57776,-0.7503662,1.7504883,0.10571289
305,1,43.901768,0.3408203,2.7763672,0.10571289
306,0,68.13669,-1.0944824,2.9379883,0.10571289
306,1,21.147596,0.45941162,2.5483398,0.10571289
309,0,16.754057,-0.4593506,-2.677246,0.10571289
310,0,32.416912,1.2802734,1.8378906,0.10571289
317,0,54.572914,1.7319336,0.7977295,0.10571289
317,1,23.143587,0.324646,-2.5668945,0.10571289
319,0,34.87065,1.8425293,2.885254,0.10571289
326,0,21.912937,0.053230286,-2.246582,0.10571289
326,1,21.692034,-1.8530273,0.5623779,0.10571289
329,0,49.69213,0.9926758,-0.85095215,0.10571289
330,0,18.244865,2.1469727,-1.3977051,0.10571289
338,0,170.02226,-1.6032715,-1.7631836,0.10571289
338,1,128.1175,-2.2338867,-1.6606445,0.10571289
339,0,19.899435,0.7576904,0.9571533,0.10571289
342,0,101.9648,1.5087891,-1.7055664,0.10571289
342,1,86.45065,1.6159668,2.178711,0.10571289
342,2,24.708687,0.1975708,-3.0932617,0.10571289
343,0,21.436285,2.036621,0.47735596,0.10571289
349,0,10.695883,-1.3747559,-3.0581055,0.10571289
350,0,30.695337,-0.03967285,-2.7651367,0.10571289
351,0,35.338963,-1.1535645,-2.7226562,0.10571289
351,1,17.90313,-2.1323242,-0.3059082,0.10571289
351,2,14.028567,-1.5957031,0.4570923,0.10571289
370,0,10.906147,-0.32403564,2.7011719,0.10571289
372,0,26.070982,-0.031959534,-2.6723633,0.10571289
372,1,17.288649,-1.2548828,0.3045044,0.10571289
373,0,51.074963,0.7652588,2.6445312,0.10571289
373,1,35.61386,-0.1459961,-0.9647217,0.10571289
378,0,14.962839,-1.2746582,-1.2685547,0.10571289
379,0,30.625784,-1.684082,1.0144043,0.10571289
381,0,64.104324,-0.112854004,-1.7949219,0.10571289
381,1,40.57256,-0.48858643,2.3945312,0.10571289
383,0,15.168731,-0.27600098,3.0307617,0.10571289
386,0,57.89267,-1.0834961,2.5541992,0.10571289
386,1,39.2702,-2.0043945,-1.2155762,0.10571289
387,0,52.96245,-1.6652832,0.23712158,0.10571289
387,1,42.35481,-1.6835938,-2.3061523,0.10571289
392,0,33.14863,2.0507812,-0.41760254,0.10571289
395,0,91.266884,2.099121,2.4838867,0.10571289
396,0,43.32253,1.4267578,-1.5856934,0.10571289
400,0,13.926036,0.017356873,-2.5200195,0.10571289
407,0,39.90549,-1.9614258,2.9853516,0.10571289
408,0,27.254509,0.11489868,3.081543,0.10571289
409,0,92.993225,-1.5969238,-2.1523438,0.10571289
409,1,92.601364,0.92419434,0.7093506,0.10571289
409,2,12.766292,-0.74902344,3.130371,0.10571289
411,0,78.91622,-1.3898926,-1.9243164,0.10571289
411,1,23.62811,-1.9379883,1.0947266,0.10571289
413,0,43.694576,-1.2453613,-0.12132263,0.10571289
413,1,24.774754,-0.07998657,2.2944336,0.10571289
414,0,53.29262,-1.1940918,-2.2739258,0.10571289
414,1,39.719097,-0.89294434,1.2438965,0.10571289
424,0,14.448072,0.2668457,-0.9807129,0.10571289
426,0,31.154238,2.1035156,-2.4550781,0.10571289
426,1,15.453251,1.8774414,1.8098145,0.10571289
428,0,34.87223,1.7744141,0.55810547,0.10571289
428,1,30.162037,1.2927246,3.0864258,0.10571289
429,0,15.200044,-0.5439453,-2.840332,0.10571289
429,1,14.5020485,0.75390625,0.7060547,0.10571289
431,0,28.03574,2.2211914,-0.106781006,0.10571289
431,1,13.821256,0.14779663,-2.7333984,0.10571289
435,0,38.33266,-2.0141602,-1.5566406,0.10571289
435,1,21.842829,-0.7718506,1.2438965,0.10571289
439,0,35.33453,-1.7668457,-1.6489258,0.10571289
442,0,48.980843,-1.9111328,2.534668,0.10571289
443,0,34.769943,-1.0778809,-2.5498047,0.10571289
443,1,17.430616,-1.9401855,-2.3793945,0.10571289
445,0,34.11922,-0.7504883,-1.5397949,0.10571289
445,1,26.281288,1.1777344,1.434082,0.10571289
446,0,28.96204,1.9621582,1.5061035,0.10571289
447,0,39.49676,-1.8967285,1.0368652,0.10571289
452,0,48.757355,1.6918945,-2.2470703,0.10571289
452,1,27.915638,1.2133789,1.0664062,0.10571289
460,0,24.098888,1.953125,2.010254,0.10571289
460,1,18.420414,1.7438965,1.8361816,0.10571289
475,0,13.947941,-0.7874756,0.9532471,0.10571289
477,0,29.666864,0.57214355,-1.6508789,0.10571289
477,1,20.82132,-0.17053223,2.7646484,0.10571289
478,0,80.05124,0.9835205,-1.9841309,0.10571289
478,1,12.073198,-0.75634766,2.2680664,0.10571289
483,0,33.155483,-1.826416,0.028949738,0.10571289
489,0,29.998392,-1.2333984,-1.2961426,0.10571289
490,0,10.87193,1.6604004,-1.5927734,0.10571289
491,0,31.457474,-1.7067871,0.47680664,0.10571289
494,0,37.744118,1.4707031,-1.7592773,0.10571289
494,1,29.646059,2.2739258,1.3503418,0.10571289
497,0,23.01503,-1.0622559,2.3896484,0.10571289
497,1,15.761804,1.5107422,-0.92297363,0.10571289
499,0,20.265575,-1.0732422,-0.96313477,0.10571289
500,0,36.00296,-1.5041504,-2.3896484,0.10571289
500,1,24.926966,-2.309082,1.2050781,0.10571289
502,0,10.800797,-1.0012207,0.96398926,0.10571289
504,0,64.95026,-1.394043,-0.9259033,0.10571289
504,1,31.624567,-1.0349121,2.4545898,0.10571289
504,2,18.736893,-1.4528809,2.3354492,0.10571289
504,3,15.688526,-0.5019531,2.5253906,0.10571289
513,0,35.82974,1.8422852,-1.3713379,0.10571289
514,0,34.322327,-0.85961914,-3.0454102,0.10571289
514,1,17.09958,1.0576172,-0.36883545,0.10571289
518,0,85.41699,1.3405762,0.57006836,0.10571289
518,1,19.440374,0.37438965,-1.920166,0.10571289
521,0,18.646864,0.42523193,2.8105469,0.10571289
522,0,34.907906,-0.13452148,-2.4194336,0.10571289
522,1,25.362032,-1.3352051,0.75390625,0.10571289
523,0,13.766023,-1.8586426,2.4448242,0.10571289
525,0,48.04326,0.4711914,-0.98913574,0.10571289
525,1,36.353844,1.362793,2.746582,0.10571289
528,0,59.590153,2.1938477,2.1655273,0.10571289
531,0,19.376263,0.8276367,2.565918,0.10571289
531,1,14.574102,0.4996338,-0.54748535,0.10571289
544,0,22.728062,0.043785095,1.8901367,0.10571289
544,1,10.829461,0.2602539,1.5266113,0.10571289
545,0,15.959895,-0.020317078,-0.6776123,0.10571289
550,0,81.07777,-0.91967773,0.47711182,0.10571289
550,1,68.18262,1.4064941,-2.0517578,0.10571289
550,2,37.73151,0.920166,2.178711,0.10571289
550,3,21.8782,-0.23751831,-2.538086,0.10571289
553,0,19.204042,0.7463379,-0.16732788,0.10571289
555,0,135.54617,0.5731201,-2.3574219,0.10571289
556,0,20.33468,-1.6630859,-2.3613281,0.10571289
557,0,19.428417,-0.93395996,-0.6119385,0.10571289
558,0,40.321476,-0.016967773,-2.369629,0.10571289
560,0,82.03741,-2.171875,1.9118652,0.10571289
560,1,38.396534,-2.2719727,0.21331787,0.10571289
566,0,47.377506,1.5717773,1.9846191,0.10571289
566,1,44.785763,1.7841797,-1.1428223,0.10571289
568,0,44.051254,1.1650391,0.8864746,0.10571289
568,1,42.926785,1.2893066,-2.1938477,0.10571289
570,0,39.19537,0.8330078,2.6972656,0.10571289
570,1,35.816437,0.453125,-0.54333496,0.10571289
573,0,21.533123,0.6185303,0.083862305,0.10571289
574,0,72.54361,0.375,-3.0449219,0.10571289
578,0,32.027267,-1.8728027,2.7529297,0.10571289
582,0,33.805466,0.6295166,1.7419434,0.10571289
582,1,29.79659,-0.9293213,-1.4248047,0.10571289
583,0,17.691713,1.6323242,-2.4985352,0.10571289
583,1,10.856032,0.91467285,0.7939453,0.10571289
585,0,39.359203,-0.3217163,0.35699463,0.10571289
585,1,24.072556,0.66967773,-2.8881836,0.10571289
585,2,17.360128,0.15408325,-2.7402344,0.10571289
589,0,34.75821,0.5500488,-3.015625,0.10571289
590,0,59.509533,-1.3684082,2.4145508,0.10571289
590,1,31.913097,-1.7443848,-0.092300415,0.10571289
591,0,35.004234,-0.3093872,2.0595703,0.10571289
593,0,40.585987,0.12643433,1.3051758,0.10571289
593,1,30.895433,0.7800293,-1.5947266,0.10571289
595,0,34.44435,0.711792,-2.7875977,0.10571289
601,0,37.65832,-0.9094238,-1.5595703,0.10571289
601,1,11.888675,0.50390625,1.6442871,0.10571289
606,0,26.216862,1.7001953,2.6044922,0.10571289
607,0,15.312507,1.262207,1.6188965,0.10571289
607,1,12.867539,0.27038574,-0.6604004,0.10571289
610,0,55.06542,0.0035982132,-2.8808594,0.10571289
610,1,29.08133,-2.196289,2.270996,0.10571289
612,0,16.896994,-0.26123047,2.5463867,0.10571289
612,1,10.612055,-0.46875,-3.0634766,0.10571289
613,0,169.99112,-2.293457,1.9086914,0.10571289
613,1,25.42528,-1.2539062,0.57421875,0.10571289
614,0,43.691067,0.5760498,1.8220215,0.10571289
614,1,38.629948,0.48651123,-1.1706543,0.10571289
617,0,85.98792,1.0454102,-2.3754883,0.10571289
617,1,22.218859,1.588623,0.47753906,0.10571289
621,0,17.467178,1.4545898,0.9036865,0.10571289
623,0,20.192812,0.9675293,-2.1499023,0.10571289
623,1,13.654247,-2.3417969,1.5202637,0.10571289
636,0,12.710195,-0.4515381,-0.8913574,0.10571289
640,0,25.359621,-1.5859375,1.0307617,0.10571289
641,0,19.643566,0.1984253,1.1730957,0.10571289
642,0,38.99634,1.8081055,-0.28796387,0.10571289
642,1,19.470007,2.0473633,-2.8271484,0.10571289
645,0,38.071884,-1.7109375,0.8100586,0.10571289
655,0,15.557786,-0.6168213,-2.7739258,0.10571289
662,0,68.28695,-0.54919434,-1.067627,0.10571289
662,1,62.55421,-0.2977295,1.6611328,0.10571289
662,2,33.07695,-0.920166,2.6206055,0.10571289
662,3,12.128785,-0.5666504,-1.583252,0.10571289
666,0,12.84081,-0.42791748,-1.4870605,0.10571289
667,0,38.821884,-0.51794434,2.2324219,0.10571289
667,1,31.275747,1.0932617,-1.1166992,0.10571289
672,0,90.69182,-0.23846436,-1.9240723,0.10571289
672,1,28.287209,0.39117432,0.017280579,0.10571289
673,0,56.413906,-0.18988037,-1.6928711,0.10571289
673,1,49.015995,-0.44732666,0.34954834,0.10571289
675,0,20.931372,0.57922363,1.888916,0.10571289
678,0,15.940157,0.6697998,-1.6101074,0.10571289
678,1,15.713696,0.44281006,-1.472168,0.10571289
687,0,15.654264,2.1044922,-2.2192383,0.10571289
688,0,11.637967,-0.13723755,-0.40686035,0.10571289
689,0,33.79268,1.6435547,-1.5664062,0.10571289
692,0,56.731342,0.9786377,1.407959,0.10571289
692,1,44.73067,1.6555176,1.765625,0.10571289
692,2,24.155039,1.6577148,-0.91552734,0.10571289
693,0,56.1688,-1.1071777,-1.8723145,0.10571289
693,1,48.857006,-1.6726074,-0.7056885,0.10571289
693,2,35.495293,-0.5308838,1.6069336,0.10571289
693,3,30.950289,-0.30895996,1.8898926,0.10571289
694,0,12.6041355,-0.28552246,-2.5429688,0.10571289
695,0,20.931402,1.1262207,-2.8378906,0.10571289
700,0,88.58047,1.9455566,-2.2294922,0.10571289
700,1,25.168997,1.8649902,0.38354492,0.10571289
701,0,54.802105,-1.8674316,0.15872192,0.10571289
704,0,31.058275,-1.2983398,2.807129,0.10571289
705,0,46.689846,-2.1293945,-1.4255371,0.10571289
706,0,81.237816,1.5874023,-2.302246,0.10571289
706,1,38.71992,2.0478516,-1.2429199,0.10571289
709,0,47.7059,-1.4060059,2.567871,0.10571289
709,1,47.093365,-1.3188477,-0.43603516,0.10571289
716,0,10.182851,1.1628418,2.1401367,0.10571289
722,0,82.43775,-1.2060547,0.45965576,0.10571289
722,1,35.418304,-1.1193848,2.6738281,0.10571289
722,2,13.082501,-0.98876953,1.5839844,0.10571289
722,3,10.455115,-0.72839355,0.89489746,0.10571289
723,0,35.808197,-2.2211914,1.8432617,0.10571289
723,1,22.93434,-0.9897461,-1.5852051,0.10571289
724,0,27.714664,0.541626,-1.8317871,0.10571289
724,1,14.350351,1.9050293,1.0183105,0.10571289
724,2,11.641084,1.4453125,0.6602783,0.10571289
726,0,66.49203,1.9597168,-2.7919922,0.10571289
729,0,32.104435,-0.05984497,-1.4396973,0.10571289
729,1,17.62732,-2.0488281,1.6049805,0.10571289
732,0,59.731197,2.1708984,-0.9075928,0.10571289
732,1,53.746838,1.9714355,-2.8291016,0.10571289
740,0,28.42389,-2.3110352,2.7963867,0.10571289
744,0,43.163166,0.86608887,-1.2263184,0.10571289
744,1,38.981407,0.9342041,1.809082,0.10571289
744,2,11.924056,-0.40124512,2.4467773,0.10571289
745,0,10.379177,2.2006836,-2.4057617,0.10571289
758,0,39.00069,-1.630127,-2.8076172,0.10571289
759,0,70.44572,-0.5428467,-1.2180176,0.10571289
759,1,33.57767,-0.62475586,1.1955566,0.10571289
768,0,25.480478,0.6730957,-2.0600586,0.10571289
768,1,15.615329,-1.376709,0.9333496,0.10571289
769,0,34.442966,0.033332825,3.0229492,0.10571289
772,0,44.139046,-1.170166,-1.2019043,0.10571289
772,1,16.256077,-0.78759766,-2.1108398,0.10571289
773,0,24.584131,1.4379883,1.6650391,0.10571289
774,0,22.115995,1.3518066,2.9438477,0.10571289
779,0,60.463566,-0.39123535,0.7581787,0.10571289
779,1,32.92069,-1.2866211,-1.572998,0.10571289
780,0,16.619791,-0.074142456,-2.631836,0.10571289
781,0,30.929665,-1.9436035,-0.64123535,0.10571289
781,1,25.740341,-0.38806152,2.3769531,0.10571289
783,0,13.164615,1.6623535,-0.9847412,0.10571289
788,0,21.251131,-0.63513184,-1.154541,0.10571289
788,1,16.511835,-1.6616211,0.56591797,0.10571289
790,0,44.41616,-0.8618164,-0.6719971,0.10571289
790,1,11.22355,-1.1369629,-0.12527466,0.10571289
791,0,174.66113,-1.6711426,0.056533813,0.10571289
791,1,19.381275,-1.8828125,-1.6650391,0.10571289
793,0,39.346725,1.5905762,-2.0449219,0.10571289
795,0,14.03767,0.444458,1.6494141,0.10571289
798,0,54.37323,1.126709,-1.3632812,0.10571289
798,1,25.512165,-0.24258423,1.5749512,0.10571289
804,0,117.07837,0.102493286,1.685791,0.10571289
804,1,11.952405,-1.5209961,-2.7695312,0.10571289
809,0,48.416195,-0.91516113,2.6811523,0.10571289
809,1,45.443947,0.6154785,1.7287598,0.10571289
810,0,29.763985,1.3825684,0.69091797,0.10571289
819,0,17.519913,-1.3371582,-1.8776855,0.10571289
822,0,75.52301,-0.14666748,2.902832,0.10571289
822,1,33.64286,0.122024536,0.6229248,0.10571289
823,0,53.783314,-1.9655762,-1.9013672,0.10571289
823,1,43.47039,-0.9852295,1.0922852,0.10571289
823,2,32.38799,-1.0712891,1.1723633,0.10571289
826,0,14.119586,2.0615234,1.6555176,0.10571289
828,0,13.9640255,-1.1875,2.807129,0.10571289
834,0,21.413057,-0.4749756,-2.2495117,0.10571289
834,1,18.273514,1.8681641,-2.3359375,0.10571289
834,2,13.354741,-0.58496094,1.5500488,0.10571289
835,0,91.317215,2.3066406,2.1123047,0.10571289
835,1,42.889618,1.4140625,-0.85388184,0.10571289
841,0,27.910667,-0.6329346,2.8291016,0.10571289
842,0,33.72306,0.54504395,2.1274414,0.10571289
843,0,35.4637,2.3452148,-0.76501465,0.10571289
848,0,47.69861,2.1420898,-2.2016602,0.10571289
855,0,87.93821,-1.5241699,2.5385742,0.10571289
855,1,43.16808,-0.41015625,-0.33221436,0.10571289
855,2,41.47895,-2.1918945,-1.2333984,0.10571289
855,3,13.409765,1.3674316,2.463379,0.10571289
857,0,15.084373,2.2182617,0.90979004,0.10571289
858,0,38.551617,0.22720337,1.286377,0.10571289
858,1,13.599351,-0.19760132,-2.5864258,0.10571289
860,0,47.88778,1.8510742,1.7001953,0.10571289
860,1,25.962822,1.9099121,-1.8837891,0.10571289
861,0,20.189074,-1.5976562,2.8066406,0.10571289
861,1,17.679604,-2.349121,1.5407715,0.10571289
873,0,19.011126,1.4321289,0.7915039,0.10571289
875,0,46.018303,-2.2871094,-1.0751953,0.10571289
875,1,31.952011,-1.857666,2.059082,0.10571289
878,0,33.238926,-0.12884521,2.724121,0.10571289
878,1,31.232449,-0.39727783,-0.49468994,0.10571289
880,0,69.18558,-0.26263428,-2.6469727,0.10571289
880,1,36.518684,-0.51916504,1.3071289,0.10571289
880,2,33.566578,1.5878906,0.52819824,0.10571289
880,3,32.24832,-0.5439453,-0.57702637,0.10571289
885,0,35.233147,1.1113281,0.0546875,0.10571289
885,1,19.495583,1.2236328,2.9868164,0.10571289
887,0,43.999924,-2.2373047,-2.703125,0.10571289
887,1,30.453907,-1.5039062,2.206543,0.10571289
893,0,10.004053,-0.8054199,0.8342285,0.10571289
894,0,10.469618,1.6938477,1.2307129,0.10571289
897,0,21.00676,1.4702148,1.4521484,0.10571289
897,1,19.483772,-0.85754395,-1.298584,0.10571289
898,0,12.995511,-1.7824707,-0.23568726,0.10571289
901,0,58.5119,0.6800537,-0.43084717,0.10571289
903,0,25.076305,-1.9746094,1.4299316,0.10571289
905,0,25.494934,1.3430176,-0.4560547,0.10571289
905,1,14.509667,1.0209961,2.421875,0.10571289
908,0,27.298513,-1.4348145,-2.1958008,0.10571289
908,1,15.22366,0.5085449,0.6121826,0.10571289
912,0,35.89058,-0.7001953,0.056785583,0.10571289
912,1,32.50904,1.1159668,1.920166,0.10571289
912,2,21.982235,1.3400879,-2.2158203,0.10571289
916,0,37.970478,2.3208008,2.815918,0.10571289
916,1,31.146334,1.8447266,-0.52197266,0.10571289
917,0,40.037537,0.6672363,3.0195312,0.10571289
917,1,32.24987,-0.5345459,-0.6990967,0.10571289
918,0,45.56784,1.8188477,2.8686523,0.10571289
918,1,13.115566,2.1425781,0.5274658,0.10571289
919,0,12.10997,-0.36547852,-1.2434082,0.10571289
920,0,44.5938,-0.6672363,-1.2666016,0.10571289
920,1,38.833157,0.2836914,2.253418,0.10571289
922,0,13.752538,2.178711,1.142334,0.10571289
922,1,10.722095,-0.90441895,-2.7714844,0.10571289
928,0,28.38994,0.67663574,-1.6582031,0.10571289
931,0,33.474705,1.2763672,2.5283203,0.10571289
933,0,59.807247,-0.33117676,-0.6307373,0.10571289
933,1,29.231596,-1.4882812,1.0112305,0.10571289
935,0,13.409579,-0.80163574,-1.7270508,0.10571289
937,0,23.25447,-0.16564941,-2.5263672,0.10571289
939,0,16.824472,-2.3076172,-0.9075928,0.10571289
940,0,59.55453,0.17367554,2.828125,0.10571289
940,1,28.73178,1.0478516,-0.33581543,0.10571289
